Year,Location,Location Description,Site Number,Colony Size Class,Colony Location Class,Count,Type of Info,Lat,Long,Notes,Collector,Source
1974,Ada Island,,1,3,,171,Pair,49.29,-124.0768,,,Campbell 1976
1975,Ada Island,,1,3,,100,Nests,49.29,-124.0768,,K.Kennedy,B.C. Nest Record Scheme
1978,Ada Island,,1,3,,154,Nests,49.29,-124.0768,,MGS TES,B.C Nest Record Scheme
1980,Ada Island,,1,3,,86,Nests,49.29,-124.0768,,,Campbell et al 1990
1981,Ada Island,,1,3,,155,Nests,49.29,-124.0768,,"L Giliberte, M McNall",B.C Nest Record Scheme
1986,Ada Island,,1,3,,124,Nests,49.29,-124.0768,,,Vermeer and Devito 1989
2010,Ada Island,,1,3,,69,Nests,49.29,-124.0768,,,
1977,Anniversary Islet,,2,2,,4,Nests,48.824,-123.1833,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1978,Anniversary Islet,,2,2,,50,Nests,48.824,-123.1833,,"HR Carter, MS Rodway",B.C. Nest Record Scheme
2005,Anniversary Islet,,2,2,,0,Nests,48.824,-123.1833,,P. Arcese?,"Unpubl. Data - ""Arcese"" file in GWGU_laura"
1976,Arbutus Island,,3,3,,39,Nests,48.7062,-123.4355,,,Campbell et al 1990
1985,Arbutus Island,,3,3,,115,Nests,48.7062,-123.4355,,,Vermeer and Devito 1989
1986,Arbutus Island,,3,3,,150,Nests,48.7062,-123.4355,,,Vermeer and Devito 1989
1997,Arbutus Island,,3,3,,97,Nests,48.7062,-123.4355,,,Sullivan et al 2002
1999,Arbutus Island,,3,3,,55,Nests,48.7062,-123.4355,,,"Moira Lemon BLOY egg collection 1999, Sullivan et al. 2002"
2005,Arbutus Island,,3,3,,40,Nests,48.7062,-123.4355,,,"Unpubl. Data - ""Haro Gulls"" file in GWGU_laura"
2007,Arbutus Island,,3,3,,35,Nests,48.7062,-123.4355,,,"Unpubl. Data - ""Haro Gulls"" file in GWGU_laura"
2010,Arbutus Island,,3,3,,53,Nests,48.7062,-123.4355,,,
1974,Argyle Rocks,E Beecher Bay,4,1,,0,Nests,48.3218,-123.6019,,"Phil Nott, Gary Seedhouse",B.C. Nest Record Scheme
1978,Argyle Rocks,,4,1,,1,Nest,48.3218,-123.6019,,"H.R. Carter, C.D. Shepard, G.E. Corley-Smith",B.C. Nest Record Scheme
1974,Augustus Point,SW side Kuper Island,5,1,,3,Pair,48.9457,-123.6522,,,Campbell 1976
1978,Augustus Point,,5,1,,3,Nests,48.9457,-123.6522,"Record showed 14 Adults, ""3 setting in nest holes"", so assumed 3 N","HR Carter, MS Rodway",B.C. Nest Record Scheme
1980,Augustus Point,,5,1,,3,,48.9457,-123.6522,10 roosting adults reported so estimated 3 N,"E Perkins, R Gibbs, J Goodall",B.C. Nest Record Scheme
1984,Augustus Point,,5,1,,6,Nests,48.9457,-123.6522,,"L Giliberte, M McNall",B.C. Nest Record Scheme
1952,Ballenas Island,N Cliffs of N islet,6,3,,50,Pair,49.3542,-124.1647,,Mrs. A.G. Waldon,Drent and Guiguet 1961
1953,Ballenas Island,N Cliffs of N islet,6,3,,50,Pair,49.3542,-124.1647,,Mrs. A.G. Waldon,Drent and Guiguet 1961
1954,Ballenas Island,N Cliffs of N islet,6,3,,50,Pair,49.3542,-124.1647,,Mrs. A.G. Waldon,Drent and Guiguet 1961
1955,Ballenas Island,N Cliffs of N islet,6,3,,50,Pair,49.3542,-124.1647,,Mrs. A.G. Waldon,Drent and Guiguet 1961
1956,Ballenas Island,N Cliffs of N islet,6,3,,50,Pair,49.3542,-124.1647,,Mrs. A.G. Waldon,Drent and Guiguet 1961
1968,Ballenas Island,,6,3,,55,Nests,49.3542,-124.1647,,R. Drent,B.C. Nest Record Scheme
1969,Ballenas Island,,6,3,,120,Pair,49.3542,-124.1647,,"W. Campbell, R.G. Fouttit",B.C. Nest Record Scheme
1986,Ballenas Island,,6,3,,0,Nests,49.3542,-124.1647,,,Vermeer & Devito 1989
2006,Ballenas Island,,6,3,,0,Nests,49.3542,-124.1647,,P. Arcese?,"Unpubl. Data - ""Arcese"" file in GWGU_laura"
1936,Ballingall Islets,,7,3,,85,Nests,48.9072,-123.4596,,Sprot 1936,B.C. Nest Record Scheme
1954,Ballingall Islets,,7,3,,1,Nests,48.9072,-123.4596,,,Campbell et al 1990
1959,Ballingall Islets,,7,3,,57,Nests,48.9072,-123.4596,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1964,Ballingall Islets,,7,3,,50,Pair,48.9072,-123.4596,,"AJ Brooks, RY Edwardds",B.C. Nest Record Scheme
1966,Ballingall Islets,,7,3,,100,Nests,48.9072,-123.4596,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1968,Ballingall Islets,,7,3,,155,Pair,48.9072,-123.4596,Orig est of 150-160 pair,R Best,B.C. Nest Record Scheme
1974,Ballingall Islets,,7,3,,96,Pair,48.9072,-123.4596,,,Campbell 1976
1976,Ballingall Islets,,7,3,,118,Nests,48.9072,-123.4596,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1977,Ballingall Islets,,7,3,,118,Nests,48.9072,-123.4596,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1986,Ballingall Islets,,7,3,,145,Nests,48.9072,-123.4596,,,Vermeer and Devito 1989
2010,Ballingall Islets,,7,3,,6,Nests,48.9072,-123.4596,,,
1968,Bare Point,,8,2,,1,Pair,48.9284,-123.7047,,R Drent,B.C. Nest Record Scheme
1974,Bare Point,,8,2,,11,Pair,48.9284,-123.7047,,"MS Rodway, RW Campbell",Campbell 1976
1977,Bare Point,,8,2,,8,Nests,48.9284,-123.7047,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1978,Bare Point,,8,2,,4,Pair,48.9284,-123.7047,,"HR Carter, MS Rodway",B.C. Nest Record Scheme
1980,Bare Point,,8,2,,0,Nests,48.9284,-123.7047,,"E Perkins, R Gibbs, J Goodall",B.C. Nest Record Scheme
1986,Bare Point,,8,2,,5,Nests,48.9284,-123.7047,,,Vermeer and Devito 1989
1966,Belle Chain Islets,,9,3,,14,Nests,48.8335,-123.2009,Orig est of 12 - 15 pr,RC Best,B.C. Nest Record Scheme
1969,Belle Chain Islets,,9,3,,43,Nests,48.8335,-123.2009,,"R Drent, J Anvik, J&J Ward",B.C. Nest Record Scheme
1974,Belle Chain Islets,,9,3,,6,Pair,48.8335,-123.2009,,,Campbell 1976
1976,Belle Chain Islets,,9,3,,6,Nests,48.8335,-123.2009,,,B.C. Nest Record Scheme
1977,Belle Chain Islets,,9,3,,25,Nests,48.8335,-123.2009,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1980,Belle Chain Islets,,9,3,,37,Nests,48.8335,-123.2009,,"E Perkins, R Gibbs, J Goodall",B.C. Nest Record Scheme
1981,Belle Chain Islets,,9,3,,78,Nests,48.8335,-123.2009,,"M McNall, S Webb, L Giliberti",B.C. Nest Record Scheme
1986,Belle Chain Islets,,9,3,,56,Nests,48.8335,-123.2009,,,Vermeer and Devito 1989
2009,Belle Chain Islets,,9,3,,18,Nests,48.8335,-123.2009,,T. Golumbia,Todd Golumbia pers. comm. 2009
1974,Bird Islet,,10,2,,3,Nests,49.3633,-123.2914,,,Moira Lemon
1981,Bird Islet,,10,2,,2,Nests,49.3633,-123.2914,,,Moira Lemon
1986,Bird Islet,,10,2,,38,Nests,49.3633,-123.2914,,,Vermeer and Devito 1989
1999,Bird Islet,,10,2,,31,Nests,49.3633,-123.2914,,,"Moira Lemon, Sullivan et al. 2002"
2010,Bird Islet,,10,2,,15,Nests,49.3633,-123.2914,,,
1974,Canoe Islet,,11,3,,67,Pair,49.0282,-123.5887,,,Campbell 1976
1976,Canoe Islet,,11,3,,37,Pair,49.0282,-123.5887,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1977,Canoe Islet,,11,3,,57,Pair,49.0282,-123.5887,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1978,Canoe Islet,,11,3,,50,Nests,49.0282,-123.5887,,"HR Carter, MS Rodway, JA Rodway, MJ Sowden",B.C. Nest Record Scheme
1986,Canoe Islet,,11,3,,56,Nests,49.0282,-123.5887,,,Vermeer and Devito 1989
1943,Chain Islets and Great Chain Island,,12,5,,80,Nests,48.4223,-123.2653,,T White,B.C. Nest Record Scheme
1955,Chain Islets and Great Chain Island,,12,5,,1000,Pair,48.4223,-123.2653,,D. Stirling,Drent and Guiguet 1961
1960,Chain Islets and Great Chain Island,,12,5,,850,Pair,48.4223,-123.2653,Orig est of 700-1000 pr,F.A. Gornall,Drent and Guiguet 1961
1968,Chain Islets and Great Chain Island,,12,5,,1754,,48.4223,-123.2653,Combined R Drent ests for Grt Chain & islets,,
1973,Chain Islets and Great Chain Island,,12,5,,1550,Pair,48.4223,-123.2653,,,B.C Nest Record Scheme
1974,Chain Islets and Great Chain Island,,12,5,,1764,Pair,48.4223,-123.2653,,,Campbell 1976
