REGION,CODE,NAME,Count,Year,1959/1960,1974,1977,1978,1981,1986,1999,2009/2010^[b]
Northern Strait of Georgia,SG-014 Hoskyn Rock,,x,2012,-,-,-,-,-,-,-,-
Northern Strait of Georgia,SG-017 Centre Islet,,1S,2018,-,-,-,-,-,-,-,-
Northern Strait of Georgia,SG-020 Copper Cliffs,,1+eS,1976,-,-,-,0,-,-,-,-
Northern Strait of Georgia,SG-030 Three Islets,,1,1974,-,1,1eS,2eS,1,-,-,-
Northern Strait of Georgia,SG-050 Little Rock,,1,1974,-,1,0,0,1,1,-,-
Northern Strait of Georgia,SG-055 Ray Rock,,10e,2009,-,-,-,-,-,-,-,10e
Northern Strait of Georgia,SG-060 Powell Islets,,1,1970,-,0,0,1S,0,-,-,-
Northern Strait of Georgia,SG-070 Major Islet,,1S,1970,-,3[3],0,1S,1,-,-,-
Northern Strait of Georgia,SG-080 Keefer Rock,,7,1970,-,-,20[20],14[1],28[26],28,-,-
Northern Strait of Georgia,SG-090 Mitlenatch Island,,x,1896,"600-1,200e","1,632[1,578]",987[811],"2,558[2,326]","1,922[986]","2,100",-,"2,493[1,152]"
Northern Strait of Georgia,SG-100 Powell River,,6,1986,-,-,-,-,-,6,-,-
Northern Strait of Georgia,SG-110 Vivian Island,,59,1966,-,218[191],-,240[90],229[178],208,-,-
Northern Strait of Georgia,SG-130 McRae Islet,,97,1969,-,-,-,150[36],164[73],262,-,-
Northern Strait of Georgia,SG-135 Deserted Bay - Dock,,1,2021,-,-,-,-,-,-,-,-
Northern Strait of Georgia,"SG-140 Blind"" Islets""",,2,1986,-,-,-,0,0,2,-,-
Northern Strait of Georgia,SG-145 RCockburnS Islets,,150e,2014,-,-,-,0,0,-,-,-
Northern Strait of Georgia,SG-148 RTrafalgarS Rock,,1,1986,-,-,-,-,0,1,-,-
Northern Strait of Georgia,SG-150 Hodgson Islands,,1,1986,-,-,-,0,0,1,-,-
Northern Strait of Georgia,SG-180 Mouat Islands,,16,1981,-,-,-,0,16[11],35,-,-
Northern Strait of Georgia,"SG-190 Davie"" Islet""",,3,1986,-,-,-,-,0,3,-,-
Northern Strait of Georgia,SG-200 Denman West Dock,,1,1986,-,-,-,-,-,1,-,-
Northern Strait of Georgia,SG-210 Denman East Dock,,1,1986,-,-,-,-,-,1,-,1eS
Northern Strait of Georgia,SG-212 Hornby Island - West Dock,,1,before 2000,-,-,-,-,-,-,-,-
Northern Strait of Georgia,SG-220 St. John Point,,25e,1936,S,5,2[2],-,3-7e,6,-,-
Northern Strait of Georgia,SG-230 Norris Rocks,,17,1968,-,85[81],104[27],58[22],111[48],287,-,185[111]
Northern Strait of Georgia,SG-240 Chrome Island,,1,1974,-,1,-,1eS,3eS,3eS,-,1S
Northern Strait of Georgia,SG-250 Sisters Islets,,100e,1940,-,108[108],-,85[65],151[141],25,-,-
Northern Strait of Georgia,SG-260 Finnerty Islands,,10eS,1974,-,10eS,-,0,6[4],4,-,-
Northern Strait of Georgia,SG-270 Fegan Islets,,2S,1974,-,2S,-,0,1,1,-,-
Northern Strait of Georgia,SG-278 RSabineS Islets,,1,1986,-,-,-,-,0,1,-,-
Northern Strait of Georgia,"SG-290 Upwood"" Islet""",,3,1981,-,-,-,-,3[3],-,-,-
Northern Strait of Georgia,SG-300 Sheer Island,,7,1981,-,-,-,-,7[7],50,-,-
Northern Strait of Georgia,SG-302 Rabbit Island,,22,1986,-,-,-,-,0,22,-,-
Northern Strait of Georgia,SG-305 RWindyS Rock,,1,1986,-,-,-,-,0,1,-,-
Northern Strait of Georgia,SG-310 Sea Egg Rocks,,5,1986,-,-,-,0,0,5,-,-
Northern Strait of Georgia,"SG-330 Priestland"" Rocks""",,1,1981,-,-,-,-,1,-,-,-
Northern Strait of Georgia,"SG-340 Jeddah"" Rocks""",,2,1981,-,-,-,-,2[1],-,-,-
Northern Strait of Georgia,SG-360 Franklin Island,,700-800eS^[c ],1950,500e,387[354],287[242],478[404],443[306],216,-,47[43]
Northern Strait of Georgia,SG-370,Merry Island,x^[c],1924,100e,252[201],310[255],362^[d],158[13],6,-,3eS
Northern Strait of Georgia,SG-380,Porpoise Bay,1,1978,-,-,-,1,1,-,-,-
Northern Strait of Georgia,SG-390,Trail Islands,2,1973,-,3[3],-,4eS,5[4],-,-,-
Northern Strait of Georgia,SG-400,White Islets,x,1923,-,279[278],-,458[410],314[185],490,-,328[253]
Northern Strait of Georgia,SG-430,Christie Islet,x,c1914,299[299],477[430],x,722[655],558[518],454,246e,255[198]
Northern Strait of Georgia,SG-440,Pam Rock,x,1941,-,121[113],x,151[115],131[103],109,25[7],11[7]
Northern Strait of Georgia,SG-444,Squamish Harbour,1,2008,-,-,-,-,-,-,-,1
Northern Strait of Georgia,SG-450,Bowyer Island,11S,1978,-,0,-,11S,12,-,-,-
Northern Strait of Georgia,SG-460,RSunset BeachS Cliffs,1,1956,-,-,-,-,-,-,-,-
Northern Strait of Georgia,SG-470,"Bay"" Rock""",5,1980,-,-,-,-,-,-,-,-
Northern Strait of Georgia,SG-490,Whyte Islet,6,1978,-,-,-,6[4],22[19],0,0,0
Northern Strait of Georgia,SG-500,Bird Islet,3,1974,-,3[3],-,-,-,38,35[33],45[15]
Northern Strait of Georgia,SG-505,Kettle Point,2S,1981,-,-,-,-,2S,-,-,-
Northern Strait of Georgia,SG-520,"Eagle"" Rocks""",2,1974,-,2[2],-,-,17[5],10,1,-
Northern Strait of Georgia,SG-530,Passage Island,x,1940,50e,496[456],-,798[701],709[451],384,-,25[11]
Northern Strait of Georgia,SG-540,Grebe Islets,7,1974,-,7[7],-,12[7],22[2],108,257[217],58[33]
Northern Strait of Georgia,SG-550,Point Atkinson,4,1968,-,-,-,-,-,-,-,-
Northern Strait of Georgia,SG-555,Capilano Lake,1,1972,-,1,-,-,-,-,-,-
Northern Strait of Georgia,SG-560,Wigwam Inn,1,1940s,-,-,-,-,-,-,-,-
Northern Strait of Georgia,SG-568,Port Moody,1,2013,-,-,-,-,-,-,-,-
Northern Strait of Georgia,SG-570,Barnet,2,1977,-,-,2[2],-,-,-,-,-
Northern Strait of Georgia,SG-580,Second Narrows,2,1975,-,-,-,4,-,40,-,-
Northern Strait of Georgia,SG-590,North Vancouver,1,1967,-,72[57],25[20],28[5],21[10],158e,-,-
Northern Strait of Georgia,SG-595,West Vancouver,18e,2021,-,-,-,-,-,-,-,-
Northern Strait of Georgia,SG-600,Vancouver Harbour,1,1962,-,-,-,-,-,112e,-,-
Northern Strait of Georgia,SG-610,Lions Gate Bridge,1,1958,-,1,-,-,4,12,-,2
Northern Strait of Georgia,SG-620,Prospect Point,2,1959,2,5,4,1,9,4,-,0
Northern Strait of Georgia,SG-630,Siwash Rock,3-4e,1958,-,6[6],4,-,5[5],8,-,0
Northern Strait of Georgia,SG-640,Burrard Bridge,9,1986,-,-,-,-,-,9,-,1
Northern Strait of Georgia,SG-650,Granville Bridge,10,1986,-,-,-,-,-,10,-,-
Northern Strait of Georgia,SG-660,False Creek,172e,1986,-,-,-,-,-,172e,-,-
Northern Strait of Georgia,SG-661,Point Grey,20e,2021,-,-,-,-,-,-,-,-
Northern Strait of Georgia,SG-664,Oak Street Bridge,1,2021,-,-,-,-,-,-,-,-
Northern Strait of Georgia,SG-665,Mitchell Island,2eS,2021,-,-,-,-,-,-,-,-
Northern Strait of Georgia,SG-666,Knight Street Bridge,1,2021,-,-,-,-,-,-,-,-
Northern Strait of Georgia,SG-667,South Vancouver,2,2021,-,-,-,-,-,-,-,-
Northern Strait of Georgia,SG-670,Queens Reach to North Arm,4,2012,-,-,-,-,-,-,-,-
Northern Strait of Georgia,SG-672,Pattullo Bridges,2S,2013,-,-,-,-,-,-,-,-
Northern Strait of Georgia,SG-674,Annacis Island,3eS,2021,-,-,-,-,-,-,-,-
Northern Strait of Georgia,SG-675,Lulu Island - North,1,2008,-,-,-,-,-,-,-,-
Northern Strait of Georgia,SG-677 Sea Island,,9,2018,-,-,-,-,-,-,-,-
Northern Strait of Georgia,SG-679 Lulu Island - South,,2,2008,-,-,-,-,-,-,-,-
