"Location","Year","Location.Description","Site.Number","Colony.Size.Class","Colony.Location.Class","Count","Type.of.Info","Lat","Long","Notes.x","Collector","Source","Location_Code_SCoBC2023","Location_B_SCoBC2023","check.location.match","Location_Code_final","Location_final","Latitude_final","Longitude_final","Notes.y"
"Ada Island",1974,"",1,3,NA,171,"Pair",49.29,-124.0768,"","","Campbell 1976","GI-020","Ada Islands","check","GI-020","Ada Islands",49.2853,-124.0939,NA
"Ada Island",1975,"",1,3,NA,100,"Nests",49.29,-124.0768,"","K.Kennedy","B.C. Nest Record Scheme","GI-020","Ada Islands","check","GI-020","Ada Islands",49.2853,-124.0939,NA
"Ada Island",1978,"",1,3,NA,154,"Nests",49.29,-124.0768,"","MGS TES","B.C Nest Record Scheme","GI-020","Ada Islands","check","GI-020","Ada Islands",49.2853,-124.0939,NA
"Ada Island",1980,"",1,3,NA,86,"Nests",49.29,-124.0768,"","","Campbell et al 1990","GI-020","Ada Islands","check","GI-020","Ada Islands",49.2853,-124.0939,NA
"Ada Island",1981,"",1,3,NA,155,"Nests",49.29,-124.0768,"","L Giliberte, M McNall","B.C Nest Record Scheme","GI-020","Ada Islands","check","GI-020","Ada Islands",49.2853,-124.0939,NA
"Ada Island",1986,"",1,3,NA,124,"Nests",49.29,-124.0768,"","","Vermeer and Devito 1989","GI-020","Ada Islands","check","GI-020","Ada Islands",49.2853,-124.0939,NA
"Ada Island",2010,"",1,3,NA,69,"Nests",49.29,-124.0768,"","","","GI-020","Ada Islands","check","GI-020","Ada Islands",49.2853,-124.0939,NA
"Anniversary Islet",1977,"",2,2,NA,4,"Nests",48.824,-123.1833,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-470","Belle Chain Islets",NA,NA,"Anniversary Islet",48.824,-123.1833,"name and coordinates set to KBB2020"
"Anniversary Islet",1978,"",2,2,NA,50,"Nests",48.824,-123.1833,"","HR Carter, MS Rodway","B.C. Nest Record Scheme","GI-470","Belle Chain Islets",NA,NA,"Anniversary Islet",48.824,-123.1833,"name and coordinates set to KBB2020"
"Anniversary Islet",2005,"",2,2,NA,0,"Nests",48.824,-123.1833,"","P. Arcese?","Unpubl. Data - ""Arcese"" file in GWGU_laura","GI-470","Belle Chain Islets",NA,NA,"Anniversary Islet",48.824,-123.1833,"name and coordinates set to KBB2020"
"Arbutus Island",1976,"",3,3,NA,39,"Nests",48.7062,-123.4355,"","","Campbell et al 1990","GI-630","Arbutus Island",NA,"GI-630","Arbutus Island",48.7061,-123.4353,NA
"Arbutus Island",1985,"",3,3,NA,115,"Nests",48.7062,-123.4355,"","","Vermeer and Devito 1989","GI-630","Arbutus Island",NA,"GI-630","Arbutus Island",48.7061,-123.4353,NA
"Arbutus Island",1986,"",3,3,NA,150,"Nests",48.7062,-123.4355,"","","Vermeer and Devito 1989","GI-630","Arbutus Island",NA,"GI-630","Arbutus Island",48.7061,-123.4353,NA
"Arbutus Island",1997,"",3,3,NA,97,"Nests",48.7062,-123.4355,"","","Sullivan et al 2002","GI-630","Arbutus Island",NA,"GI-630","Arbutus Island",48.7061,-123.4353,NA
"Arbutus Island",1999,"",3,3,NA,55,"Nests",48.7062,-123.4355,"","","Moira Lemon BLOY egg collection 1999, Sullivan et al. 2002","GI-630","Arbutus Island",NA,"GI-630","Arbutus Island",48.7061,-123.4353,NA
"Arbutus Island",2005,"",3,3,NA,40,"Nests",48.7062,-123.4355,"","","Unpubl. Data - ""Haro Gulls"" file in GWGU_laura","GI-630","Arbutus Island",NA,"GI-630","Arbutus Island",48.7061,-123.4353,NA
"Arbutus Island",2007,"",3,3,NA,35,"Nests",48.7062,-123.4355,"","","Unpubl. Data - ""Haro Gulls"" file in GWGU_laura","GI-630","Arbutus Island",NA,"GI-630","Arbutus Island",48.7061,-123.4353,NA
"Arbutus Island",2010,"",3,3,NA,53,"Nests",48.7062,-123.4355,"","","","GI-630","Arbutus Island",NA,"GI-630","Arbutus Island",48.7061,-123.4353,NA
"Augustus Point",1974,"SW side Kuper Island",5,1,NA,3,"Pair",48.9457,-123.6522,"","","Campbell 1976","GI-250","Augustus Point",NA,"GI-250","Augustus Point",48.945,-123.6528,NA
"Augustus Point",1978,"",5,1,NA,3,"Nests",48.9457,-123.6522,"Record showed 14 Adults, ""3 setting in nest holes"", so assumed 3 N","HR Carter, MS Rodway","B.C. Nest Record Scheme","GI-250","Augustus Point",NA,"GI-250","Augustus Point",48.945,-123.6528,NA
"Augustus Point",1980,"",5,1,NA,3,"",48.9457,-123.6522,"10 roosting adults reported so estimated 3 N","E Perkins, R Gibbs, J Goodall","B.C. Nest Record Scheme","GI-250","Augustus Point",NA,"GI-250","Augustus Point",48.945,-123.6528,NA
"Augustus Point",1984,"",5,1,NA,6,"Nests",48.9457,-123.6522,"","L Giliberte, M McNall","B.C. Nest Record Scheme","GI-250","Augustus Point",NA,"GI-250","Augustus Point",48.945,-123.6528,NA
"Ballenas Island",1952,"N Cliffs of N islet",6,3,NA,50,"Pair",49.3542,-124.1647,"","Mrs. A.G. Waldon","Drent and Guiguet 1961","GI-010","Ballenas Islands",NA,"GI-010","Ballenas Islands",49.3464,-124.1581,NA
"Ballenas Island",1953,"N Cliffs of N islet",6,3,NA,50,"Pair",49.3542,-124.1647,"","Mrs. A.G. Waldon","Drent and Guiguet 1961","GI-010","Ballenas Islands",NA,"GI-010","Ballenas Islands",49.3464,-124.1581,NA
"Ballenas Island",1954,"N Cliffs of N islet",6,3,NA,50,"Pair",49.3542,-124.1647,"","Mrs. A.G. Waldon","Drent and Guiguet 1961","GI-010","Ballenas Islands",NA,"GI-010","Ballenas Islands",49.3464,-124.1581,NA
"Ballenas Island",1955,"N Cliffs of N islet",6,3,NA,50,"Pair",49.3542,-124.1647,"","Mrs. A.G. Waldon","Drent and Guiguet 1961","GI-010","Ballenas Islands",NA,"GI-010","Ballenas Islands",49.3464,-124.1581,NA
"Ballenas Island",1956,"N Cliffs of N islet",6,3,NA,50,"Pair",49.3542,-124.1647,"","Mrs. A.G. Waldon","Drent and Guiguet 1961","GI-010","Ballenas Islands",NA,"GI-010","Ballenas Islands",49.3464,-124.1581,NA
"Ballenas Island",1968,"",6,3,NA,55,"Nests",49.3542,-124.1647,"","R. Drent","B.C. Nest Record Scheme","GI-010","Ballenas Islands",NA,"GI-010","Ballenas Islands",49.3464,-124.1581,NA
"Ballenas Island",1969,"",6,3,NA,120,"Pair",49.3542,-124.1647,"","W. Campbell, R.G. Fouttit","B.C. Nest Record Scheme","GI-010","Ballenas Islands",NA,"GI-010","Ballenas Islands",49.3464,-124.1581,NA
"Ballenas Island",1986,"",6,3,NA,0,"Nests",49.3542,-124.1647,"","","Vermeer & Devito 1989","GI-010","Ballenas Islands",NA,"GI-010","Ballenas Islands",49.3464,-124.1581,NA
