"ID","Region","LocationName","Latitude","Longitude","1959.1960","1974","1977","1978","1981","1986","1999","2009.2010"
"GI-010","Gulf Islands","Ballenas Islands",49.3464,-124.1581,NA,0,NA,NA,2,0,NA,NA
"GI-015","Gulf Islands","Yeo Islands",49.3053,-124.135,NA,NA,NA,1,NA,NA,NA,NA
"GI-020","Gulf Islands","Ada Islands",49.2853,-124.0939,NA,171,NA,154,155,124,NA,73
"GI-040","Gulf Islands","Maude Island",49.2706,-124.0819,NA,0,NA,NA,NA,2,NA,0
"GI-045","Gulf Islands","Long Lake",49.2111,-124.0208,NA,NA,NA,NA,NA,1,NA,NA
"GI-050","Gulf Islands","Five Finger Island",49.2311,-123.9158,NA,311,459,473,599,671,288,9
"GI-060","Gulf Islands","Hudson Rocks",49.2258,-123.925,75,248,330,236,308,247,122,10
"GI-070","Gulf Islands","Snake Island",49.2156,-123.8906,400,558,NA,615,719,673,204,23
"GI-076","Gulf Islands","Brandon Islands",49.2069,-123.9569,NA,NA,NA,NA,NA,NA,3,NA
"GI-085","Gulf Islands","Nanaimo Harbour",49.1628,-123.9314,NA,NA,NA,NA,NA,NA,NA,NA
"GI-090","Gulf Islands","Gabriola Island - West Cliffs",49.1558,-123.8569,NA,4,5,3,NA,NA,NA,4
"GI-095","Gulf Islands","Harmac - Mill",49.1375,-123.8575,NA,NA,NA,NA,NA,NA,NA,NA
"GI-100","Gulf Islands","Gabriola Island - East Cliffs",49.1608,-123.7278,NA,NA,1,NA,NA,NA,NA,NA
"GI-110","Gulf Islands","Carlos Island",49.1592,-123.6969,NA,0,NA,1,NA,NA,NA,NA
"GI-112","Gulf Islands","Breakwater Island",49.1361,-123.6825,NA,NA,NA,NA,NA,NA,NA,NA
"GI-130","Gulf Islands","Round Island",49.1147,-123.7956,NA,NA,5,3,3,NA,NA,NA
"GI-150","Gulf Islands","De Courcy Island",49.0983,-123.7458,NA,NA,3,2,NA,2,NA,0
"GI-160","Gulf Islands","Valdes Island - West Cliffs",49.1056,-123.7028,NA,0,1,1,0,NA,NA,NA
"GI-170","Gulf Islands","Ruxton Island",49.0758,-123.7064,NA,NA,2,2,NA,2,NA,NA
"GI-171","Gulf Islands","Whaleboat Island",49.0739,-123.6925,NA,NA,0,0,NA,1,NA,NA
"GI-180","Gulf Islands","Tree Island",49.0608,-123.6978,NA,NA,1,2,NA,NA,NA,NA
"GI-190","Gulf Islands","Miami Islet",49.0372,-123.7094,NA,52,43,32,26,38,NA,5
"GI-200","Gulf Islands","Ragged Islets",49.0264,-123.6961,NA,103,126,130,89,69,NA,28
"GI-210","Gulf Islands","Rose Islets",49.0081,-123.6439,NA,208,167,167,211,116,NA,21
