"LocationName","ID","Latitude","Longitude","Year","Source","Covered","NationalPark","ProvincialPark","EcolReserve","Selected","eBird.","NEW.selected","Changed","Drone..1.need.to.do...2.Should.do..","Google.Earth","Drone.from.Land","Notes"
"Ada Islands","GI-020",49.2853,-124.0939,1974,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"Anniversary Islet",NA,48.824,-123.1833,1977,"KBB2020","","NationalPark","","",1,NA,1,"0",1,4,NA,""
"Arbutus Island","GI-630",48.7061,-123.4353,1976,"KBB2020","covered","","","",1,NA,0,"Removed (covered)",NA,0,NA,""
"Augustus Point","GI-250",48.945,-123.6528,1974,"KBB2020","","","","",0,0,0,"0",NA,0,NA,""
"Ballenas Islands","GI-010",49.3464,-124.1581,1952,"KBB2020","","","","",1,NA,0,"Removed",NA,0,NA,"Consider excluding - in Whiskey Golf test range and 0 on recent counts. Ask lightkeeper for count??"
"Ballingall Islets","GI-320",48.9072,-123.4594,1936,"KBB2020","","","","EcolReserve",1,NA,1,"0",1,4,NA,""
"Bare Point","GI-280",48.9278,-123.7064,1968,"KBB2020","","","","",1,NA,2,"0",2,1,1,""
"Barnet","SG-570",49.2922,-122.9367,1977,"SCoBC2023","","","","",0,1,0,"0",NA,0,NA,"Too generic a location to search for a specific eBird list, should be covered by urban surveys"
"Belle Chain Islets","GI-470",48.8335,-123.2009,1966,"KBB2020","","NationalPark","","",1,NA,1,"0",1,4,NA,""
"Bird Islet","SG-500",49.3633,-123.2911,1974,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"Blind Islets","SG-140",49.7147,-124.2175,1978,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"Blunden Islet","GI-560",48.7442,-123.1681,1977,"SCoBC2023","","","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"Bowyer Island","SG-450",49.4264,-123.2689,1974,"SCoBC2023","","","","",1,NA,1,"0",NA,1,NA,""
"Brandon Islands","GI-076",49.2069,-123.9569,1999,"SCoBC2023","","","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"Brothers Islands","GI-940",48.4253,-123.4342,1981,"SCoBC2023","covered","","","",1,NA,0,"Removed (covered)",NA,0,NA,"Covered (2021 survey described in Rodway et al. 2023)"
"Burrard Bridge","SG-640",49.2753,-123.1375,1986,"KBB2020","covered","","","",1,NA,0,"Removed (covered)",NA,0,NA,""
"Canoe Islet","GI-220",49.0281,-123.5886,1974,"KBB2020","","","","EcolReserve",1,NA,1,"0",1,4,NA,""
"Capilano Lake","SG-555",49.3639,-123.1097,1974,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,"Too generic a location to search for a specific eBird list"
"Carlos Island","GI-110",49.1592,-123.6969,1974,"SCoBC2023","","","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"Chain Islands","GI-420",48.8375,-123.4539,1977,"SCoBC2023","","","","",1,NA,2,"0",2,1,1,"Looked up coordinates as site has same name as Chain Islands in Oak Bay. Actually called Second Sister Island, or First, Second, and Third Sister Islands if this locality is for the entire island group. "
"Chain Islets/Great Chain Island","GI-890",48.4206,-123.2753,1943,"KBB2020","covered","","","EcolReserve",1,NA,0,"Removed (covered)",NA,0,NA,""
"Channel Islands","GI-460",48.7994,-123.3842,1977,"KBB2020","","NationalPark","","",0,0,0,"0",NA,0,NA,""
"Christie Islet","SG-430",49.4994,-123.3017,1941,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"Chrome Island","SG-240",49.4719,-124.6844,1935,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"Clamshell Islet","GI-408",48.8519,-123.4414,1974,"KBB2020","","","","",0,0,0,"0",NA,0,NA,""
"Copper Cliffs","SG-020",50.0994,-125.2711,1978,"SCoBC2023","","","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"Croker Rock","GI-540",48.7731,-123.1961,1977,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"Davie Islet","SG-190",49.6003,-124.3964,1981,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"De Courcy Island",NA,49.1106,-123.7576,1977,"KBB2020","","","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"Denman Island - East Dock","SG-210",49.4939,-124.7089,1986,"KBB2020","","","","",0,NA,1,"Added",NA,1,NA,"Should be included - surveyed in 2010 but named Denman Island Gravelly Bay terminal - 1 nest (N)"
"Denman Island - West Dock","SG-200",49.5347,-124.8236,1986,"SCoBC2023","","","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"Dinner Islet",NA,49.9462,-124.7229,1978,"KBB2020","","","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"Dock Island",NA,48.6717,-123.3575,1977,"KBB2020","","","","",1,NA,1,"0",2,1,NA,"Combine with Little Group (see notes for that locality). Little Group is close and directly west "
"Eagle Harbour",NA,49.3517,-123.2711,1974,"KBB2020","","","","",0,0,0,"0",NA,0,NA,"For this locality, no eBird checklists describing nests or young. 1 nest on nearby Fisherman’s Rock in June 1999 https://ebird.org/checklist/S35474080 "
"Eagle Rocks","SG-520",49.3544,-123.2789,1974,"SCoBC2023","","","","",1,NA,1,"0",NA,1,NA,""
"East Point - Cliffs","GI-510",48.7817,-123.0469,1977,"KBB2020","","NationalPark","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"False Creek","SG-660",49.2717,-123.1083,1974,"KBB2020","covered","","","",1,NA,0,"Removed (covered)",NA,0,NA,""
"Fearney Point","SG-150",49.6481,-124.0894,1978,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"Fegen Islets","SG-270",49.53,-124.3806,1974,"KBB2020","","","","",0,0,0,"0",NA,0,NA,""
"Finnerty Islands","SG-260",49.4989,-124.3953,1974,"KBB2020","","","ProvincialPark","",1,NA,1,"0",NA,1,NA,""
"Five Finger Island","GI-050",49.2311,-123.9158,1959,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"Franklin Island","SG-360",49.4667,-123.9192,1960,"SCoBC2023","","","","",1,NA,1,"0",NA,1,NA,""
"Gabriola Island - East Cliffs","GI-100",49.1608,-123.7278,1977,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"Gabriola Island - West Cliffs","GI-090",49.1558,-123.8569,1974,"KBB2020","","","","",1,NA,1,"0",2,1,NA,""
"Galiano Island - Central Cliffs","GI-330",48.9119,-123.4314,1976,"KBB2020","","","","",0,0,0,"0",NA,0,NA,""
"Galiano Island - North Cliffs","GI-230",48.9725,-123.5631,1977,"KBB2020","","","","",0,1,0,"0",NA,0,NA,"This lat/long is for west cliffs. Checklist with possible nesting activity but unlikely to be more than a couple of nests if any https://ebird.org/checklist/S37562496 (code H = obs in suitable nesting habitat)"
"Galiano Island - South Cliffs","GI-370",48.8694,-123.3897,1977,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"Granville Bridge","SG-650",49.2719,-123.1339,1986,"SCoBC2023","covered","","","",1,NA,0,"Removed (covered)",NA,0,NA,""
"Grebe Islets","SG-540",49.3408,-123.2756,1974,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"Greig Island","GI-690",48.6781,-123.3392,1963,"KBB2020","","NationalPark","","",1,NA,1,"0",1,4,NA,""
"Guide Islets","SG-030",50.0808,-125.0178,1974,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"Harris Island","GI-880",48.4231,-123.2897,1977,"KBB2020","","","","",1,NA,2,"Louise only ",NA,2,NA,"I’ll probably cover this on Trial Island day"
"Hatch Point - Wharf","GI-640",48.6969,-123.5406,1981,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"Hawkins Island","GI-424",48.8403,-123.3717,1977,"SCoBC2023","","","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"Hodgson Islands",NA,49.6301,-124.0808,1986,"KBB2020","","","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"Hornby Island Bluffs",NA,49.5236,-124.5925,1938,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,"Need to add Hornby Island Norman Point (Toby I, 1 N in 2010)"
"Hudson Rocks","GI-060",49.2258,-123.925,1959,"KBB2020","","","","EcolReserve",1,NA,1,"0",1,4,NA,""
"Imrie Island","GI-670",48.6944,-123.3331,1905,"KBB2020","","NationalPark","","",1,NA,1,"0",1,4,NA,""
"Inskip Rock",NA,49.2085,-123.9538,1999,"KBB2020","","","","",0,0,0,"0",NA,0,NA,""
"Jackson Rock","GI-590",48.7539,-123.4283,1977,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"Java Islets","GI-550",48.7597,-123.1097,1900,"KBB2020","","NationalPark","","",1,NA,1,"0",1,4,NA,""
"Jeddah Rocks","SG-340",49.5019,-123.9467,1981,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"Jemmy Jones Island","GI-820",48.4444,-123.2728,1978,"SCoBC2023","","","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"Keefer Rock","SG-080",49.9681,-124.8772,1970,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"Kettle Point","SG-505",49.3622,-123.2867,1981,"SCoBC2023","","","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"Kuper Island",NA,48.9359,-123.6317,1972,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"Lion Islets","GI-380",48.9003,-123.335,1977,"KBB2020","","","","",0,0,0,"0",NA,0,NA,""
"Lions Gate Bridge","SG-610",49.3153,-123.1386,1974,"SCoBC2023","covered","","","",1,NA,0,"Removed (covered)",NA,0,NA,""
"Little Group","GI-710",48.6717,-123.3575,1986,"KBB2020","","NationalPark","","",0,1,0,"0",NA,0,NA,""
"Little Rock","SG-050",50.0361,-124.9575,1974,"SCoBC2023","","","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young; Arctic Terns nest here though"
"Long Lake","GI-045",49.2111,-124.0208,1986,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,"Non-specific location"
"Lyall Harbour - Cliffs","GI-520",48.8017,-123.1892,1977,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"Major Islet","SG-070",49.9894,-124.8161,1970,"KBB2020","","","","",0,1,1,"Added",NA,1,NA,"Recent checklists confirming medium nesting colony , e.g., https://ebird.org/canada/checklist/S146038133, https://ebird.org/canada/checklist/S114668604"
