"Table 6. cont’d",,,,,,,,,,,,,
,,,"Earliest nesting",,,,,,"Survey Year^[a]",,,,
"SITE",,"SITE","record",,,,,,,,,,"2009/2010^[b]"
"CODE",,"NAME","Count","Year","1959/1960","1974","1977","1978",,"1981","1986","1999",
"GI-260","Wallace Island",,"3","1974","-","3[3]","12[8]","10[6]",,"7[1]","3","-","-"
"GI-270","Tent Island",,"1","1972","-","3[3]","16","7",,"15e","12","-","-"
"GI-280","Bare Point",,"1","1968","-","11","8","4e",,"16e","5","-","-"
"GI-280","Chemainus - Harbour",,"3","2010","-","-","-","-",,"-","-","-","3"
"GI-290","Shoal Islands",,"1","1974","-","1","-","1",,"-","-","-","-"
"GI-290","Crofton - Mill",,"20e","2016","-","-","-","-",,"-","-","-","-"
"GI-300","Cowichan Lake",,"1","1985","-","-","-","-",,"-","-","-","-"
"GI-310","Vesuvius Bay",,"4","1986","-","-","-","-",,"-","4","-","-"
"GI-320","Ballingall Islets",,"40","1934","57","96[96]","118[116]","106[105]",,"63[30]","145","-","22[6]"
"GI-330","Galiano Island - Central",,"3-4eS","1976","-","-","1","1",,"-","-","-","-"
,"Cliffs",,,,,,,,,,,,
"GI-340",""Wise" Rock",,"1S","1977","-","-","1S","0",,"-","-","-","-"
"GI-370","Galiano Island - South",,"1","1977","-","-","1","0",,"-","-","-","-"
,"Cliffs",,,,,,,,,,,,
"GI-380","Lion Islets",,"2","1977","-","-","2[2]","2[1]",,"-","1","-","-"
"GI-390","“Gossip” Rock",,"1","1986","-","-","0","0",,"-","1 ~1^[g]","-","-"
"GI-410","“Long Harbour” Islet",,"3","1974","-","3[3]","1","1",,"-",,"-","-"
"GI-420","Chain Islands",,"4","1977","-","-","4","16[4]",,"-","~5^[g]","-","-"
"GI-424","Hawkins Island",,"3","1934","-","-","0","0",,"-","-","-","-"
"GI-440","Red Islets",,"1S","1977","-","-","1S","1S",,"-","-","-","-"
"GI-450","Prevost Island - South",,"2","1977","-","-","2","3",,"-","-","-","-"
,"Cliffs",,,,,,,,,,,,
"GI-460","Channel Islands",,"1","1977","-","-","1","1",,"-","-","-","-"
"GI-470","Belle Chain Islets",,"15","1966","-","6[6]","29[23]","50[43]",,"78[46]","56","-","18"
"GI-490","Pine Islet",,"4","1977","-","-","4[1]","1",,"-","-","-","-"
"GI-510","East Point - Cliffs",,"7","1977","-","0","7","6",,"3","7","-","-"
"GI-520","Lyall Harbour - Cliffs",,"1","1986","-","-","0","-",,"-","1","-","-"
"GI-540",""Croker" Rock",,"2","1955","-","-","0","0",,"-","-","-","-"
"GI-550","Java Islets",,"x","1900","372[372]","372[358]","374[348]","499[481]",,"384[315]","298","-","25[15]^[h]"
"GI-560","Blunden Islet",,"1-2","c1960","-","-","0","0",,"-","-","-","-"
"GI-590","Jackson Rock",,"1","1978","-","-","0","1",,"-","-","-","-"
"GI-595","Fulford Harbour",,"1","2022","-","-","-","-",,"-","-","-","-"
"GI-620","Tortoise Islets",,"1S","1977","-","-","1S","1S",,"-","-","-","-"
"GI-630","Arbutus Island",,"39","1976","-","-","-","69[55]",,"89[83]","150","55[7]","68[53]"
"GI-640","Hatch Point - Wharf",,"2","1981","-","-","-","-",,"2[1]","-","-","-"
"GI-656","Swartz Bay - Ferry",,"1","2020","-","-","-","-",,"-","-","-","-"
,"Terminal",,,,,,,,,,,,
"GI-660",""Swartz Head" Rocks",,"1","1978","- 270[245]^[i]","-","-","1",,"-","-","-","-"
"GI-670","Imrie Island",,"x","1927",,"298[298]","315[299]","355[287]",,"279[247]","216","41[2]","-"
"GI-680","Reay Island",,"5","1974","-","5[5]","6[6]","1",,"-","-","0","0"
"GI-690","Greig Island",,"20e","1963","-","40[39]","-","44[38]",,"53[46]","52","14[2]","17[14]"
