CODE,,NAME,Count,Year,1959/1960,1974,1977,1978,1981,1986,1999,2009/2010^[b]
GI-710 Little Group,,,35,1977,-,-,35,2[1],-,6,1S,0
GI-720 Rubly Island,,,x,1977,-,-,x,0,-,-,-,-
GI-740 Sidney,,,2,1981,-,-,-,-,2,4,-,-
GI-750 Mandarte Island,,,x,1892,"1,800-2,000","1,047[1,037]","1,666^[j]",544[505]+^[k],"1,386[1,112]","2,363",-,"2,432[1,920]"
GI-770 Sallas Rocks,,,29,1986,-,-,-,-,-,29,-,9[1]
GI-800 Ten Mile Point,,,1,1960,1,-,-,-,-,-,-,-
GI-820 Jemmy Jones Island,,,1S,1978,-,-,-,1S,-,-,-,-
GI-850 Mary Tod Island,,,1,1986,-,-,-,-,-,1,-,2S
GI-880 Harris Island,,,41,1971,-,-,28[28],47[38],19[6],22,-,-
GI-890,Chain Islets/Great Chain Island,,x,1924,"700-1,000e","1,764[1,659]","1,838[1,789]","1,956[1,765]","1,880[1,508]","2,432",-,"2,066[1,410]"
GI-900 Trial Islands,,,x,1948,50e,0,-,2S,-,-,-,100e
GI-905 Ogden Point - Port,,,x,2008,-,-,-,-,-,-,-,-
GI-910 Harrison Island,,,1,1980,-,-,-,-,-,-,-,-
GI-930 Victoria,,,1,1958,-,-,-,-,-,110,-,-
GI-940 Brothers Islands,,,143,1981,-,-,-,-,143[133],-,-,-
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
