"Table 8. cont’d",,,,,,,,,,,
"SITE",,,,,,,,,,"ALL","SURVEY"
"CODE","SITE NAME","DCCO PECO",,"BLOY","GWGU","CATE","ARTE","PIGU","RHAU","SPECIES^[a]","YEAR(S)^[b]"
"SG-145","“Cockburn” Islets",,,,"30eS",,,"S(7)",,"67","2014, 2019"
"SG-148","“Trafalgar” Rock",,,,"1",,,,,"2","1986"
"SG-150","Fearney Point",,,,,,,"x(106)",,"106","2022"
"SG-160","Hodgson Islands",,,"1eS","4S",,,,,"10","2011, 2014"
"SG-170","Daniel Point",,,,,,,"(0)",,"0","1987"
"SG-175","Whitestone Islands",,,"1eS",,,,,,"2","2006"
"SG-180","Mouat Islands",,"13","3eS","45S",,,,,"122","2006, 2015"
"SG-190",""Davie" Islet",,,,"3",,,,,"6","1986"
"SG-200","Denman Island -",,,,"0",,,,,"0","2021"
,"West Dock",,,,,,,,,,
"SG-210","Denman Island -",,,,"1",,,"1",,"4","2014, 2021"
,"East Dock",,,,,,,,,,
"SG-212","Hornby Island -",,,,"0",,,"1",,"2","2020"
,"West Dock",,,,,,,,,,
"SG-220","St. John Point",,"0","2eS","0",,,"x(30)",,"34","2021, 2022"
"SG-221","Flora Islet",,,"2e",,,,,,"4","2022"
"SG-230","Norris Rocks",,,"3","185",,,,,"376","2010, 2021"
"SG-239","Boyle Point",,,,,,,"1",,"2","2019"
"SG-240","Chrome Island",,"0",,"1S",,,"S(2)",,"4","2010, 2014,"
,,,,,,,,,,,"2022"
"SG-250","Sisters Islets",,"0","9","61",,,,,"140","2021"
"SG-260","Finnerty Islands",,,"7","0",,,"x(5)",,"19","2021"
"SG-270","Fegen Islets",,,"4","14",,,,,"36","2021"
"SG-276","“Heron” Rock",,,"0",,,,,,"0","2021"
"SG-278","“Sabine” Islets",,,"11eS","0",,,,,"22","2021"
"SG-280","Jervis Island",,,"4eS",,,,"2(2)",,"12","1981, 2021"
"SG-284","Boho Island",,,,,,,"x(35)",,"35","2011"
"SG-286","“Connie” Rock",,,"4",,,,,,"8","2021"
"SG-290",""Upwood" Islet",,,,"1",,,,,"2","2019"
"SG-300","Sheer Island",,,"1","16",,,"S(2)",,"36","2021"
"SG-301","Bull Island",,,"1eS",,,,,,"2","2021"
"SG-302","Rabbit Island","0","19","6","6",,,,,"62","2021"
"SG-305","“Windy” Rock",,,,"1",,,,,"2","1986"
"SG-308","“Jenkins” Cliffs",,,,,,,"x15(67)",,"67","2021"
"SG-310","Sea Egg Rocks","7","44","8","112e",,,"x(9)",,"351","2019, 2021"
"SG-320","Sangster Island",,,,,,,"1(1)",,"2","1981"
"SG-330",""Priestland" Rocks",,,"1","1",,,,,"4","1981, 2021"
"SG-340",""Jeddah" Rocks",,,"1","2",,,,,"6","1981"
"SG-350","Bertha Island",,"2",,,,,"(6)",,"10","2011, 2015"
"SG-360","Franklin Island","0","0","1","47",,,"x(11)",,"107","2010, 2014,"
,,,,,,,,,,,"2019"
"SG-370","Merry Island",,"0","1eS","0",,,"S(9)",,"11","2010, 2014"
"SG-380","Porpoise Bay",,,,"1",,,,,"2","2018"
"SG-390","Trail Islands",,"0","3eS","0",,,"S(3)",,"9","2006, 2014"
"SG-400","White Islets",,"1","0","328",,,"x(8)",,"666","2010, 2014"
"SG-410","Popham Island",,,,,,,"1(2)",,"2","1981"
"SG-414","Pasley Island",,,"1S",,,,,,"2","2015"
"SG-416","“Onion” Rock",,,"1",,,,,,"2","2022"
"SG-420","Ragged Island",,,"1eS",,,,,,"2","2015"
"SG-424","“Galbraith” Rock",,,"1",,,,,,"2","2015"
"SG-426","Grace Islands",,,"1",,,,,,"2","2009"
"SG-428","Mariners’ Rest",,,"1",,,,,,"2","2009"
"SG-430","Christie Islet","0","12","2e","255",,,"S(20)",,"558","2010, 2014,"
,,,,,,,,,,,"2015"
"SG-440","Pam Rock","0","0","1S","11",,,"S(4)",,"28","2010, 2014,"
,,,,,,,,,,,"2017, 2021"
"SG-444","Squamish Harbour",,,,"0",,,,,"0","2021"
"SG-446","“Britannia” Rock",,,"1",,,,,,"2","2008"
"SG-450","Bowyer Island",,,,"12",,,"(0)",,"24","1981"
"SG-460",""Sunset Beach"",,,,"1",,,,,"2","1957"
,"Cliffs",,,,,,,,,,
"SG-470",""Bay" Rock",,,,"0",,,,,"0","2021"
"SG-475","Horseshoe Bay –",,,,,,,"(0)",,"0","2021"
,"Ferry Terminal",,,,,,,,,,
"SG-480","Lookout Point",,,,,,,"2e(3)",,"4","1981"
"SG-490","Whyte Islet",,,"0","0",,,,,"0","2021"
"SG-500","Bird Islet",,,"1","5",,,,,"12","2016, 2022"
"SG-505","Kettle Point",,,,"2",,,,,"4","1981"
"SG-510","Batchelor Point",,,,,,,"(0)",,"0","1987"
"SG-520",""Eagle" Rocks",,,"1","x",,,,,"4","2018, 2020"
