"Table 8. cont’d",,,,,,,,,,,
"SITE",,,,,,,,,,"ALL","SURVEY"
"CODE","SITE NAME","DCCO","PECO","BLOY","GWGU","CATE","ARTE","PIGU","RHAU","SPECIES^[a]","YEAR(S)^[b]"
"SG-530","Passage Island",,"0","3","25",,,"S(1)",,"57","2010, 2014,"
,,,,,,,,,,,"2021, 2022"
"SG-540","Grebe Islets",,,"2","0",,,"(2)",,"6","2015, 2022"
"SG-550","Point Atkinson",,,,"0",,,,,"0","2021"
"SG-555","Capilano Lake",,,,"0",,,,,"0","2021"
"SG-560","Wigwam Inn",,,,"0",,,,,"0","2013"
"SG-562","Croker Island -",,,,,,,"x(4)",,"4","2013"
,"Cliffs",,,,,,,,,,
"SG-565","“Buntzen” Cliffs",,,,,,,"x(1)",,"2","2015"
"SG-568","Port Moody",,,,"2eS",,,,,"4","2021"
"SG-570","Barnet",,,,"7e",,,,,"14","2021"
"SG-580","Second Narrows","520","73",,"21",,,"1",,"1,230","2013, 2022"
,,,,,,,,,,,"1975, 1981,"
,,,,,,,,,,,"1983, 1986,"
"SG-590 North Vancouver",,,,"1","200e ^[c]",,,"x(22)",,"424","2009, 2013,"
,,,,,,,,,,,"2014,"
,,,,,,,,,,,"2018-2021"
"SG-595 West Vancouver",,,,,"18eS",,,,,"36","2021"
"SG-600","Vancouver",,,,"1,000e ^[c]",,,,,"2,000","2015-2020"
,"Harbour",,,,,,,,,,
"SG-610 Lions Gate Bridge",,,,,"2",,,,,"4","2010"
"SG-620 Prospect Point",,,"0",,"0",,,"(10)",,"10","2014, 2016"
"SG-630 Siwash Rock",,,"0",,"0",,,"(0)",,"0","2014"
"SG-640 Burrard Bridge",,,"138",,"3",,,,,"282","2017, 2022"
"SG-650 Granville Bridge",,,"108",,"3",,,,,"222","2017, 2022"
"SG-660 False Creek",,,,,"500e ^[c]",,,,,"1,000","2015-2019"
"SG-661 Point Grey",,,,,"100e ^[c]",,,,,"200","2017-2018"
"SG-664 Oak Street Bridge",,,,,"1",,,,,"2","2021"
"SG-665 Mitchell Island",,,,,"2eS",,,,,"4","2021"
"SG-666","Knight Street",,,,"1",,,,,"2","2021"
,"Bridge",,,,,,,,,,
"SG-667 South Vancouver",,,,,"100e ^[c]",,,,,"200","2017, 2019"
"SG-670","Queens Reach to","0",,,"12eS",,,,,"24","2021"
,"North Arm",,,,,,,,,,
"SG-672 Pattullo Bridges",,,,,"11",,,,,"22","2021"
"SG-674 Annacis Island",,,,,"3eS",,,,,"6","2021"
"SG-675 Lulu Island - North",,,,,"220e","0",,,,"440","2017, 2021"
"SG-677 Sea Island",,,,,"13",,,,,"26","2019"
"SG-678 Iona Island",,"0",,,,,,,,"0","2022"
"SG-679 Lulu Island - South",,,,,"3",,,,,"6","2008, 2019"
"SG-680 Westham Island",,,,,"0",,,,,"0","1988"
"SG-690 Sand Heads",,"0",,,,,,,,"0","2009"
"SG-700","Roberts Bank -","0",,,"3",,,,,"6","1988, 2022"
,"Superport",,,,,,,,,,
"SG-705","Roberts Bank -",,,"1",,"0",,,,"2","1986, 2017"
,"Foreshore",,,,,,,,,,
"SG-710","Tsawwassen -",,"4","1","8",,,"(8)",,"34","2020, 2022"
,"Ferry Terminal",,,,,,,,,,
"SG-720","Tsawwassen -",,,,"250e",,,,,"500","2010"
,"Breakwater",,,,,,,,,,
"SG-730 White Rock",,,,,"8e ^[c]",,,,,"16","2010-2020"
"^[a ]Number of individuals.",,,,,,,,,,,
"^[b ]For sources see individual colony accounts.",,,,,,,,,,,
"^[c ]See colony account for the derivation of this estimate.",,,,,,,,,,,
