"Table 6. cont’d",,,,,,,,,,,,,
,,,"Earliest nesting",,,,,,"Survey Year^[a]",,,,
"SITE",,"SITE","record",,,,,,,,,,"2009/2010^[b]"
"CODE",,"NAME","Count","Year","1959/1960","1974","1977","1978",,"1981","1986","1999",
"SG-677 Sea Island",,,"9","2018","-","-","-","-",,"-","-","-","-"
"SG-679 Lulu Island - South",,,"2","2008","-","-","-","-",,"-","-","-","-"
"SG-680 Westham Island",,,"3","1972","-","-","-","-",,"-","-","-","-"
"SG-700 Roberts Bank Superport",,,"3","1988","-","-","-","-",,"0","-","-","-"
"SG-710","Tsawwassen Ferry",,"3+","~1961","-","9[7]","3eS","4S",,"7[3]","-","-","4"
,"Terminal",,,,,,,,,,,,
"SG-720 Tsawwassen Breakwater",,,"10e","1970","-","115[102]","160[147]","150[103]",,"223[106]","238","-","250e^[e]"
"SG-730 White Rock",,,"1S","2010","-","-","-","-",,"-","-","-","1S"
"Gulf Islands",,,,,,,,,,,,,
"GI-010 Ballenas Islands",,,"50e","1952","-","0","-","-",,"2eS","0","-","-"
"GI-015 Yeo Islands",,,"1S","1978","-","-","-","1S",,"-","-","-","-"
"GI-020 Ada Islands",,,"75+","1961","-","171e","-","154[127]",,"155[108]","124","-","73[69]"
"GI-040 Maude Island",,,"2","1986","-","0","-","-",,"-","2","-","0"
"GI-045 Long Lake",,,"1","1986","-","-","-","-",,"-","1","-","-"
"GI-050 Five Finger Island",,,"x","1958","-","311[288]","459[422]","473[454]",,"599[559]","671","288e","9[2]"
"GI-060 Hudson Rocks",,,"x","1958","75e","248[242]","259[252] 400e^[f]","236[225]",,"308[291]","247","122[74]","10eS"
"GI-070 Snake Island",,,"x","1947","300-500e","558[432]",,"615[582]",,"719[631]","673","204[44]","23e"
"GI-076 Brandon Islands",,,"3S","1999","-","-","-","-",,"-","-","3S","-"
"GI-085 Nanaimo Harbour",,,"10e+","2005","-","-","-","-",,"-","-","-","-"
"GI-090","Gabriola Island - West",,"2","1968","-","4","5","3",,"-","-","-","4"
,"Cliffs",,,,,,,,,,,,
"GI-095 Harmac - Mill",,,"100e+","2005","-","-","-","-",,"-","-","-","-"
"GI-100","Gabriola Island - East",,"1","1977","-","-","1","-",,"-","-","-","-"
,"Cliffs",,,,,,,,,,,,
"GI-110 Carlos Island",,,"1","1978","-","0","-","1",,"-","-","-","-"
"GI-112 Breakwater Island",,,"1S+","2012","-","-","-","-",,"-","-","-","-"
"GI-130 Round Island",,,"5","1977","-","-","5[2]","3[2]",,"3[2]","-","-","-"
"GI-150 Decourcy Island",,,"3","1977","-","-","3","2",,"-","2","-","0"
"GI-160","Valdes Island - West",,"1","1977","-","0","1","1",,"0","-","-","-"
,"Cliffs",,,,,,,,,,,,
"GI-170 Ruxton Island",,,"2","1977","-","-","2","2",,"-","2","-","-"
"GI-171 Whaleboat Island",,,"1","1986","-","-","0","0",,"-","1","-","-"
"GI-180 Tree Island",,,"1","1977","-","-","1","2[2]",,"-","-","-","-"
"GI-190 Miami Islet",,,"22","1968","-","52[47]","43[39]","32[25]",,"26[16]","38","-","5eS"
"GI-200 Ragged Islets",,,"10-20e","1961","-","103[75]","126[117]","130[111]",,"89[29]","69","-","28[18]"
"GI-210 Rose Islets",,,"x","1963","-","208[113]","167[160]","167[135]",,"211[183]","116","-","21[12]"
"GI-220 Canoe Islet",,,"x","1963","-","67[60]","57[21]","50[30]",,"62[23]","56","-","-"
"GI-230","Galiano Island - North",,"4","1976","-","-","2","1",,"-","6","-","-"
,"Cliffs",,,,,,,,,,,,
"GI-240 "Preedy" Rock",,,"2","1978","-","-","-","2[1]",,"-","-","-","-"
"GI-250 Augustus Point",,,"4e","1972","-","10","6","3",,"6+","8","-","-"
