"Table 6. cont’d",,,,,,,,,,,,,,,,,,
,,,,"Earliest nesting",,,,,,,,"Survey Year^[a]",,,,,,
"SITE",,"SITE",,"record",,,,,,,,,,,,,"2009/2010^[b]",
"CODE",,"NAME",,"Count","Year 1959/1960",,"1974",,"1977",,"1978",,"1981",,"1986","1999",,
"GI-710 Little Group",,,,"35","1977","-",,"-","35",,"2[1]",,,"-","6","1S",,"0"
"GI-720 Rubly Island",,,,"x","1977","-",,"-",,"x",,"0",,"-","-","-",,"-"
"GI-740 Sidney",,,,"2","1981","-",,"-",,"-",,"-",,"2","4","-",,"-"
"GI-750 Mandarte Island",,,,"x","1892","1,800-","1,047[1,037]",,"1,666^[j]",,"544[505]+^[k]",,"1,386[1,112]",,"2,363","-","2,432[1,920]",
,,,,,,"2,000e",,,,,,,,,,,,
"GI-770 Sallas Rocks",,,,"29","1986","-",,"-",,"-",,"-",,"-","29","-","9[1]",
"GI-800 Ten Mile Point",,,,"1","1960","1",,"-",,"-",,"-",,"-","-","-",,"-"
"GI-820 Jemmy Jones Island",,,,"1S","1978","-",,"-",,"-","1S",,,"-","-","-",,"-"
"GI-850 Mary Tod Island",,,,"1","1986","-",,"-",,"-",,"-",,"-","1","-","2S",
"GI-880 Harris Island",,,,"41","1971","-",,"-","28[28]",,"47[38]",,"19[6]",,"22","-",,"-"
"GI-890","Chain Islets/Great Chain",,,"x","1924 700-1,000e",,"1,764[1,659]",,"1,838[1,789]",,"1,956[1,765]",,"1,880[1,508]",,"2,432","-","2,066[1,410]",
,"Island",,,,,,,,,,,,,,,,,
"GI-900 Trial Islands",,,,"x","1948","50e",,"0",,"-","2S",,,"-","-","-","100e",
"GI-905 Ogden Point - Port",,,,"x","2008","-",,"-",,"-",,"-",,"-","-","-",,"-"
"GI-910 Harrison Island",,,,"1","1980","-",,"-",,"-",,"-",,"-","-","-",,"-"
"GI-930 Victoria",,,,"1","1958","-",,"-",,"-",,"-",,"-","110","-",,"-"
"GI-940 Brothers Islands",,,,"143","1981","-",,"-",,"-",,"-","143[133]",,"-","-",,"-"
"Colonies surveyed in 1974, 1978, 1981, 1986, and 2009/2010 (24 colonies)",,,,,,,,,,,,,,,,,,
"Northern Strait of Georgia",,,,,,,,,,,,,,,,,,
,,"Colonies with nests",,,,"n/a","11",,"n/a",,"11",,"11",,"11","n/a","10",
,,,"Nests",,,"n/a","3,742",,"n/a",,"5,599",,"4,380",,"4,161","n/a","3,406",
"Gulf Islands",,,,,,,,,,,,,,,,,,
,,"Colonies with nests",,,,"n/a","13",,"n/a",,"13",,"13",,"13","n/a","13",
,,,"Nests",,,"n/a","4,976",,"n/a",,"6,128^[l]",,"5,951",,"7,284","n/a","4,749",
"Total BC Salish Sea",,,,,,,,,,,,,,,,,,
,,"Colonies with nests",,,,"n/a","24",,"n/a",,"24",,"24",,"24","n/a","23",
,,,"Nests",,,"n/a","8,718",,"n/a",,"11,727^[l]",,"10,331",,"11,445","n/a","8,155",
"All surveyed colonies^[m]",,,,,,,,,,,,,,,,,,
"Northern Strait of Georgia",,,,,,,,,,,,,,,,,,
,"Number of colonies known",,,,,"14","36",,"39",,"42",,"49",,"63","64","70",
"Number of known colonies that were",,,,,,"1^[n]","29",,"16",,"30",,"38",,"44","6","18^[e]",
,,"accurately surveyed",,,,,,,,,,,,,,,,
"Surveyed colonies that had nests",,,,,,"1^[n]","28",,"13",,"26",,"37",,"43","5","15^[e]",
,,,"Total nests",,,"299^[n,o]","4,302",,"1,909",,"6,300",,"5,313",,"5,632","564","3,459^[e]",
,"Nests with known contents",,,,,"299^[o]","4,285",,"1,897",,"6,265",,"5,279",,"n/a","527","3,447",
"Percent of known nests that were",,,,,,"0^[o]",,"7","20",,"17",,"39",,"n/a","22","47",
,,,"empty",,,,,,,,,,,,,,,
"Gulf Islands",,,,,,,,,,,,,,,,,,
,"Number of colonies known",,,,,"15","31",,"52",,"58",,"62",,"71","72","76",
