"Table 6. cont’d",,,,,,,,,,,,,
,,,"Earliest nesting",,,,,,"Survey Year^[a]",,,,
"SITE",,"SITE","record",,,,,,,,,,"2009/2010^[b]"
"CODE",,"NAME","Count","Year","1959/1960","1974","1977","1978",,"1981","1986","1999",
"SG-370","Merry Island",,"x^[c]","1924","100e","252[201]","310[255]","362^[d]",,"158[13]","6","-","3eS"
"SG-380","Porpoise Bay",,"1","1978","-","-","-","1",,"1","-","-","-"
"SG-390","Trail Islands",,"2","1973","-","3[3]","-","4eS",,"5[4]","-","-","-"
"SG-400","White Islets",,"x","1923","-","279[278]","-","458[410]",,"314[185]","490","-","328[253]"
"SG-430","Christie Islet",,"x","c1914","299[299]","477[430]","x","722[655]",,"558[518]","454","246e","255[198]"
"SG-440","Pam Rock",,"x","1941","-","121[113]","x","151[115]",,"131[103]","109","25[7]","11[7]"
"SG-444","Squamish Harbour",,"1","2008","-","-","-","-",,"-","-","-","1"
"SG-450","Bowyer Island",,"11S","1978","-","0","-","11S",,"12","-","-","-"
"SG-460","“Sunset Beach” Cliffs",,"1","1956","-","-","-","-",,"-","-","-","-"
"SG-470",""Bay" Rock",,"5","1980","-","-","-","-",,"-","-","-","-"
"SG-490","Whyte Islet",,"6","1978","-","-","-","6[4]",,"22[19]","0","0","0"
"SG-500","Bird Islet",,"3","1974","-","3[3]","-","-",,"-","38","35[33]","45[15]"
"SG-505","Kettle Point",,"2S","1981","-","-","-","-",,"2S","-","-","-"
"SG-520",""Eagle" Rocks",,"2","1974","-","2[2]","-","-",,"17[5]","10","1","-"
"SG-530","Passage Island",,"x","1940","50e","496[456]","-","798[701]",,"709[451]","384","-","25[11]"
"SG-540","Grebe Islets",,"7","1974","-","7[7]","-","12[7]",,"22[2]","108","257[217]","58[33]"
"SG-550","Point Atkinson",,"4","1968","-","-","-","-",,"-","-","-","-"
"SG-555","Capilano Lake",,"1","1972","-","1","-","-",,"-","-","-","-"
"SG-560","Wigwam Inn",,"1","1940s","-","-","-","-",,"-","-","-","-"
"SG-568","Port Moody",,"1","2013","-","-","-","-",,"-","-","-","-"
"SG-570","Barnet",,"2","1977","-","-","2[2]","-",,"-","-","-","-"
"SG-580","Second Narrows",,"2","1975","-","-","-","4",,"-","40","-","-"
"SG-590","North Vancouver",,"1","1967","-","72[57]","25[20]","28[5]",,"21[10]","158e","-","-"
"SG-595","West Vancouver",,"18e","2021","-","-","-","-",,"-","-","-","-"
"SG-600","Vancouver Harbour",,"1","1962","-","-","-","-",,"-","112e","-","-"
"SG-610","Lions Gate Bridge",,"1","1958","-","1","-","-",,"4","12","-","2"
"SG-620","Prospect Point",,"2","1959","2","5","4","1",,"9","4","-","0"
"SG-630","Siwash Rock",,"3-4e","1958","-","6[6]","4","-",,"5[5]","8","-","0"
"SG-640","Burrard Bridge",,"9","1986","-","-","-","-",,"-","9","-","1"
"SG-650","Granville Bridge",,"10","1986","-","-","-","-",,"-","10","-","-"
"SG-660","False Creek",,"172e","1986","-","-","-","-",,"-","172e","-","-"
"SG-661","Point Grey",,"20e","2021","-","-","-","-",,"-","-","-","-"
"SG-664","Oak Street Bridge",,"1","2021","-","-","-","-",,"-","-","-","-"
"SG-665","Mitchell Island",,"2eS","2021","-","-","-","-",,"-","-","-","-"
"SG-666","Knight Street Bridge",,"1","2021","-","-","-","-",,"-","-","-","-"
"SG-667","South Vancouver",,"2","2021","-","-","-","-",,"-","-","-","-"
"SG-670","Queens Reach to North",,"4","2012","-","-","-","-",,"-","-","-","-"
,"Arm",,,,,,,,,,,,
"SG-672","Pattullo Bridges",,"2S","2013","-","-","-","-",,"-","-","-","-"
"SG-674","Annacis Island",,"3eS","2021","-","-","-","-",,"-","-","-","-"
"SG-675","Lulu Island - North",,"1","2008","-","-","-","-",,"-","-","-","-"
